,UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
209,2017-00010580,02/13/17 21:00,02/16/17 15:32,Harassment/Stalking (Title IX Related),Active/Pending,3900 block of Denton Service Ln
210,2017-00011460,02/20/17 03:06,02/20/17 03:06,Domestic (Title IX Related),CBE,Main Administration Building at 7901 Regents Dr
211,2017-00011529,03/25/16 17:00,02/20/17 11:31,Rape (Title IX Related),CBE,8000 block of Boteler Ln
212,2017-00012753,02/26/17 00:30,02/26/17 01:15,Title IX Incident Non Criminal,Active/Pending,Caroline Hall at 7154 Preinkert Dr
213,2017-00013973,03/03/17 11:50,03/03/17 14:22,Suspicious Activity (Title IX Related),Active/Pending,Hornbake Library at 4130 Campus Dr
214,2017-00015418,03/09/17 01:30,03/09/17 16:26,Fraud (Title IX Related),Suspended,3800 block of Stadium Dr
215,2017-00015492,03/09/17 19:00,03/09/17 22:06,Fraud (Title IX Related),Suspended,4000 block of Stadium Dr
216,2017-00016642,03/14/17 22:00,03/15/17 10:40,Title IX Incident Non Criminal,CBE,7300 block of Baltimore Ave
217,2017-00016981,03/09/17 22:30,03/17/17 00:26,Rape (Title IX Related),CBE,8500 block of Boteler Ln
218,2017-00020086,03/29/17 23:40,03/29/17 23:43,Assault (Title IX Related),Arrest,Montgomery Hall at 7570 Regents Dr
219,2017-00021516,04/01/17,04/05/17 19:11,Other Incident (Title IX Related),CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
220,2017-00024447,04/19/17 12:00,04/20/17 11:42,Vandalism (Title IX Related),Suspended,Lot 1d
221,2017-00025105,04/23/17 00:09,04/23/17 00:09,Assault (Title IX Related),Arrest,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
222,2017-00026310,04/29/17 00:37,04/29/17 00:37,Other Incident (Title IX Related),Active/Pending,3900 block of Denton Service Ln
223,2017-00027026,05/02/17 19:28,05/02/17 19:28,Title IX Incident Non Criminal,CBE,"Journalism Building, Knight Hall at 7765 Alumni Dr"
224,2017-00027468,05/04/17 12:00,05/04/17 12:21,Sex Offense (Title IX Related),Suspended,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr"
225,2017-00027832,05/05/17 23:18,05/05/17 23:18,Check on the Welfare (Title IX Related),CBE,7500 block of Mowatt Ln
226,2017-00028078,05/07/17 02:13,05/07/17 02:13,Other Incident (Title IX Related),CBE,7500 block of Calvert Service Ln
227,2017-00029531,05/14/17 07:10,05/14/17 07:17,Suspicious Activity (Title IX Related),Suspended,Marie Mount Hall at 7814 Regents Dr
228,2017-00030380,05/02/17 12:00,05/17/17 15:51,Other Incident (Title IX Related),Active/Pending,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
229,2017-00030531,05/18/17 01:59,05/18/17 01:59,Title IX Incident Non Criminal,CBE,South Gate at 7567 Regents Dr
230,2017-00038733,06/20/17 21:06,06/20/17 21:06,Assist Other Agency (Title IX Related),CBE,8100 block of Baltimore Ave
231,2017-00039506,06/23/17 23:45,06/23/17 23:51,Title IX Incident Non Criminal,CBE,4300 block of Hartwick Rd
232,2017-00039891,06/25/17 16:52,06/25/17 16:52,Indecent Exposure (Title IX Related),Active/Pending,8000 block of Boteler Ln
233,2017-00044433,07/14/17 10:59,07/14/17 13:02,Title IX Incident Non Criminal,CBE,7500 block of Baltimore Ave
234,2017-00045411,07/18/17 09:26,07/18/17 09:26,Assist Other Agency (Title IX Related),CBE,"Eppley Recreation Center, ERC at 4128 Valley Dr"
235,2017-00047594,07/14/17 17:00,07/27/17 12:27,Burglary (Title IX Related),CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
236,2017-00048917,08/02/17 09:55,08/02/17 09:55,Domestic (Title IX Related),CBE,4300 block of Rowalt Dr
237,2017-00052614,08/17/17 01:23,08/17/17 11:07,Title IX Incident Non Criminal,CBE,7500 block of Baltimore Ave
238,2017-00054753,08/25/17 16:10,08/25/17 16:40,Assault (Title IX Related),CBE,7600 block of Preinkert Dr
239,2017-00055317,08/27/17 07:15,08/27/17 20:10,Indecent Exposure (Title IX Related),Arrest,Campus Dr
240,2017-00055939,08/30/17 14:16,08/30/17 14:16,Harassment/Stalking,Active/Pending,3900 block of Campus Dr
241,2017-00056137,08/31/17 04:03,08/31/17 04:03,Burglary (Title IX Related),Active/Pending,4000 block of Stadium Dr
242,2017-00056938,09/03/17 07:30,09/03/17 22:20,Rape (Title IX Related),CBE,3900 block of Denton Service Ln
243,2017-00057607,09/06/17 21:25,09/06/17 21:31,Title IX Incident Non Criminal,CBE,3900 block of Denton Service Ln
244,2017-00058126,08/26/17 02:30,09/08/17 23:58,Assist Other Agency (Title IX Related),Active/Pending,4700 block of Norwich Rd
245,2017-00059084,09/13/17 11:30,09/13/17 11:34,Other Incident (Title IX Related),Unfounded,Plant Sciences Building at 4291 Fieldhouse Dr
246,2017-00059393,09/15/17 02:00,09/15/17 03:00,Injured/Sick Person (Title IX Related),CBE,Main Administration Building at 7901 Regents Dr
247,2017-00059529,02/18/17 13:00,09/15/17 21:05,Assist Other Agency (Title IX Related),CBE,7400 block of Dickinson Ave
248,2017-00059619,09/16/17 03:38,09/16/17 03:38,Assist Other Agency (Title IX Related),Active/Pending,4500 block of Guilford Rd
249,2017-00059728,09/14/17 16:00,09/16/17 17:42,Title IX Incident Non Criminal,CBE,7600 block of Library Ln
250,2017-00060194,09/18/17 08:00,09/18/17 13:42,Title IX Incident Non Criminal,CBE,8200 block of Baltimore Ave
251,2017-00060235,09/18/17 19:57,09/18/17 19:57,Title IX Incident Non Criminal,Active/Pending,Biology-Psychology Building at 4094 Campus Dr
252,2017-00063207,10/01/17 14:05,10/01/17 14:08,Theft (Title IX Related),Arrest,Allegany Hall at 4299 Lehigh Rd
253,2017-00063231,08/16/17,10/01/17 18:26,Harassment/Stalking (Title IX Related),CBE,7500 block of Regents Dr
254,2017-00063477,10/02/17 14:00,10/02/17 15:56,Title IX Incident Non Criminal,CBE,3900 block of Campus Dr
255,2017-00065258,10/10/17 11:08,10/10/17 11:08,Title IX Incident Non Criminal,CBE,"Edward St. John Learning and Teching Center, ESJ at 4131 Campus Dr"
256,2017-00065448,10/10/17 23:30,10/11/17 10:50,Title IX Incident Non Criminal,CBE,Lot D
257,2017-00065758,10/12/17 10:45,10/13/17 01:40,Title IX Incident Non Criminal,CBE,4400 block of Knox Rd
258,2017-00065837,10/13/17 07:12,10/13/17 16:05,Suspicious Activity (Title IX Related),CBE,7900 block of Regents Dr
259,2017-00066100,10/10/17 03:15,10/14/17 20:50,Sex Offense (Title IX Related),CBE,7200 block of Preinkert Dr
260,2017-00066736,10/09/17 12:00,10/17/17 18:49,Harassment/Stalking (Title IX Related),CBE,3900 block of Campus Dr
261,2017-00066929,10/16/17 16:00,10/18/17 12:43,Title IX Incident Non Criminal,CBE,"Journalism Building, Knight Hall at 7765 Alumni Dr"
262,2017-00068488,10/24/17 09:00,10/25/17 12:01,Vandalism (Title IX Related),Active/Pending,Jimenez Hall at 4125 N Library Ln
263,2017-00068784,10/24/17 09:00,10/26/17 15:34,Vandalism (Title IX Related),Active/Pending,Ellicott Area Dining Hall at 4028 Stadium Dr
264,2017-00069428,10/29/17 21:01,10/29/17 21:48,Indecent Exposure (Title IX Related),Suspended,3400 block of Tulane Dr
265,2017-00069637,10/29/17 04:00,10/30/17 19:14,Indecent Exposure (Title IX Related),Suspended,Charles Hall at 4405 Lehigh Rd
266,2017-00069931,11/01/17 09:50,11/01/17 13:05,Assist Other Agency (Title IX Related),CBE,8700 block of Baltimore Ave
267,2017-00070132,11/02/17 09:45,11/02/17 11:56,Harassment/Stalking,Summons Issued,7400 block of Preinkert Dr
268,2017-00070592,11/04/17 12:29,11/04/17 12:29,Other Incident (Title IX Related),CBE,"Leonardtown #242, Leonardtown at 4646 Norwich Rd"
269,2017-00071097,11/06/17 18:00,11/06/17 18:13,Assault (Title IX Related),Active/Pending,4300 block of Rowalt Dr
270,2017-00071184,11/06/17 17:15,11/07/17 08:43,Other Incident (Title IX Related),Unfounded,Campus Dr
271,2017-00071649,11/06/17 09:00,11/09/17 16:53,Harassment/Stalking,Active/Pending,Calvert Hall at 7551 Calvert Service Ln
272,2017-00073193,09/11/17 12:00,11/17/17 10:50,Title IX Incident Non Criminal,CBE,4100 block of Campus Dr
273,2017-00073667,11/17/17 17:30,11/19/17 18:41,Vandalism (Title IX Related),Active/Pending,3900 block of Denton Service Ln
274,2017-00075835,11/29/17 11:57,11/30/17 10:28,Telephone/EMail Misuse (Title IX Related),Suspended,4300 block of Chapel Ln
275,2017-00076671,12/04/17 16:01,12/04/17 16:01,Emergency Petition (Title IX Related),Arrest,Taliaferro Hall at 4280 Chapel Ln
276,2017-00077154,12/06/17 23:40,12/06/17 23:55,Assault (Title IX Related),CBE,4300 block of Knox Rd
277,2017-00077984,12/11/17 16:50,12/11/17 16:50,Suspicious Activity (Title IX Related),CBE,4000 block of Stadium Dr
278,2017-00078230,12/08/17 16:34,12/12/17 18:07,Title IX Incident Non Criminal,Suspended,4200 block of Campus Dr
279,2018-00005537,01/24/18 23:00,01/25/18 16:31,Harassment/Stalking,Arrest,7100 block of Preinkert Dr
280,2018-00009272,02/09/18 15:42,02/09/18 21:59,Other Incident (Title IX Related),CBE,4200 block of Farm Dr
281,2018-00011691,02/19/18 12:00,02/19/18 12:00,Telephone/EMail Misuse (Title IX Related),Arrest,6900 block of Preinkert Dr
282,2018-00013236,02/26/18 00:53,02/26/18 00:53,Other Incident (Title IX Related),CBE,"Chapel, Memorial Chapel at 7744 Regents Dr"
283,2018-00013407,02/26/18 05:00,02/26/18 15:20,Telephone/EMail Misuse (Title IX Related),CBE,"Woods, Woods Hall at 4302 Chapel Ln"
284,2018-00014362,03/02/18 13:45,03/02/18 13:45,Assist Other Agency / Title IX Incident Non Criminal,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd"
285,2018-00014453,03/02/18 22:15,03/02/18 23:02,Hate Bias Incident (Title IX Related),Investigation Pending,4100 block of Valley Dr
286,2018-00015474,03/07/18 12:33,03/07/18 12:33,Harassment/Stalking,Active/Pending,3900 block of Campus Dr
287,2018-00015731,03/08/18 17:45,03/08/18 19:35,Hate Bias Incident (Title IX Related),CBE,"Leonardtown #244, Leonardtown at 4673 Rossborough Ln"
288,2018-00017752,03/17/18 16:20,03/17/18 16:43,Suspicious Activity (Title IX Related),Investigation Pending,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
289,2018-00019577,03/28/18 07:38,03/28/18 07:38,Title IX Incident Non Criminal,CBE,Service Building at 7757 Baltimore Ave
290,2018-00022160,04/10/18 16:09,04/10/18 16:09,Sex Offense (Title IX Related),CBE,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
291,2018-00022340,03/03/18 23:00,04/11/18 12:48,Other Incident (Title IX Related),CBE,Pocomoke at 7569 Baltimore Ave
292,2018-00023821,04/14/18 21:43,04/18/18 12:58,Assist Other Agency / Title IX Incident Non Criminal,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd"
293,2018-00024691,04/21/18 23:02,04/21/18 23:02,Assist Other Agency (Title IX Related) / Assault,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd"
294,2018-00025256,04/25/18 12:37,04/25/18 12:37,Harassment/Stalking,CBE,4200 block of Valley Dr
295,2018-00026075,04/29/18 15:10,04/29/18 15:10,Other Incident (Title IX Related),CBE,"Oakland, Oakland Hall at 3912 Denton Service Ln"
296,2018-00026142,04/29/18 22:35,04/29/18 22:35,Domestic (Title IX Related),CBE,"Annapolis, Annapolis Hall at 7626 Regents Dr"
297,2018-00026359,04/01/18 10:30,05/01/18 09:36,Harassment/Stalking,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725 Rossborough Ln"
298,2018-00028952,04/15/18 23:00,05/12/18 10:21,Fraud (Title IX Related),Investigation Pending,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
299,2018-00029452,05/14/18 18:16,05/14/18 18:16,Title IX Incident Non Criminal,CBE,7500 block of Calvert Service Ln
300,2018-00033897,06/02/18 02:44,06/02/18 02:44,Assist Other Agency (Title IX Related) / Sex Offense,CBE,"Terrapin Row #3, Terrapin Row 3, TR3 at 4301 Hartwick Rd"
301,2018-00034701,06/06/18 05:22,06/06/18 05:22,Title IX Incident Non Criminal,CBE,4200 block of Lehigh Rd
302,2018-00035148,06/08/18 17:38,06/08/18 17:38,Domestic (Title IX Related),CBE,7700 block of Adelphi Rd
303,2018-00037271,06/19/18 18:30,06/20/18 10:21,Suspicious Activity (Title IX Related),Investigation Pending,3400 block of Tulane Dr
304,2018-00038271,06/25/18 09:00,06/26/18 09:52,Harassment/Stalking,Investigation Pending,"7-11 Varsity, 7-Eleven Varsity at 8150 Baltimore Ave"
305,2018-00040965,07/10/18 18:30,07/10/18 19:26,Assist Other Agency (Title IX Related) / Suspicous Person/Auto,CBE,Pocomoke at 7569 Baltimore Ave
306,2018-00042585,07/18/18 18:32,07/18/18 18:32,Domestic (Title IX Related),CBE,Pocomoke at 7569 Baltimore Ave
307,2018-00043470,07/23/18 09:00,07/23/18 12:14,Title IX Incident Non Criminal,CBE,"Van Munching, Van Munching Hall at 7699 Mowatt Ln"
308,2018-00046037,08/06/18 14:25,08/06/18 14:25,Title IX Incident Non Criminal,CBE,4200 block of Lehigh Rd
309,2018-00048920,08/22/18 13:10,08/22/18 13:10,Domestic (Title IX Related),CBE,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
310,2018-00051099,08/15/18 00:00,09/03/18 09:47,Harassment/Stalking (Title IX Related),CBE,8700 block of Boteler Ln
311,2018-00051601,09/06/18 01:09,09/06/18 01:09,Harassment/Stalking (Title IX Related),CBE,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr"
312,2018-00053963,09/18/18 11:00,09/18/18 12:21,Other Incident (Title IX Related),Unfounded,4000 block of Stadium Dr
313,2018-00054876,09/22/18 22:30,09/23/18 17:06,Hate Bias Incident (Title IX Related),CBE,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
314,2018-00055037,09/24/18 16:07,09/24/18 16:07,Assist Other Agency / Title IX Incident Non Criminal,CBE,4300 block of Hartwick Rd
315,2018-00055913,09/29/18 02:00,09/29/18 02:24,Assist Other Agency (Title IX Related) / Indecent Exposure,CBE,7500 block of Hopkins Ave
316,2018-00056148,09/30/18 19:30,09/30/18 20:06,Suspicious Activity (Title IX Related),CBE,8500 block of Boteler Ln
317,2018-00057431,10/07/18 01:00,10/07/18 11:01,Assist Other Agency (Title IX Related) / Rape,CBE,1700 block of Montello Ave
318,2018-00057645,10/04/18 20:00,10/08/18 22:17,Harassment/Stalking (Title IX Related),Active/Pending,4100 block of Farm Dr
319,2018-00057969,10/09/18 14:00,10/10/18 18:23,Harassment/Stalking,CBE,4100 block of Woodberry St
320,2018-00058293,10/12/18 09:30,10/12/18 13:20,Indecent Exposure (Title IX Related),Arrest,340 block of Ehrensberger Dr
321,2018-00058496,10/13/18 14:45,10/13/18 14:45,Assault (Title IX Related),CBE,Stadium Dr
322,2018-00058568,10/14/18 01:52,10/14/18 01:52,Assault (Title IX Related),Warrant Issued,6800 block of Preinkert Dr
323,2018-00058839,10/15/18 11:30,10/15/18 13:27,Harassment/Stalking,CBE,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
324,2018-00058915,10/01/18 17:00,10/15/18 20:57,Harassment/Stalking (Title IX Related),CBE,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
325,2018-00058985,10/16/18 08:47,10/16/18 08:47,Domestic (Title IX Related),CBE,4300 block of Rowalt Dr
326,2018-00059325,09/01/18 12:00,10/18/18 00:02,Suspicious Activity (Title IX Related),CBE,"Chapel, Memorial Chapel at 7744 Regents Dr"
327,2018-00059641,10/19/18 17:27,10/19/18 17:27,Police Information (Title IX Related),CBE,Montgomery at 7570 Regents Dr
328,2018-00059913,10/21/18 10:18,10/21/18 10:18,Vandalism (Title IX Related),Active/Pending,Lot 11b
329,2018-00060108,10/22/18 15:30,10/22/18 15:40,Harassment/Stalking,CBE,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
330,2018-00060697,10/12/18 23:30,10/25/18 12:28,Rape,Warrant Issued,4200 block of Valley Dr
331,2018-00061118,10/26/18 23:00,10/27/18 03:55,Assist Other Agency (Title IX Related) / Rape,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300 Hartwick Rd"
332,2018-00061189,10/27/18 02:30,10/27/18 13:03,Harassment/Stalking (Title IX Related),CBE,4100 block of Valley Dr
333,2018-00061973,10/31/18 08:15,10/31/18 08:29,Other Incident (Title IX Related),CBE,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
334,2018-00065760,07/01/17 08:00,11/16/18 23:20,Rape,Active/Pending,Animal Science Building at 8127 Regents Dr
335,2018-00066773,11/21/18 18:30,11/21/18 18:30,Trespassing (Title IX Related),CBE,3900 block of Campus Dr
336,2018-00068310,11/01/18 16:34,11/28/18 15:59,Other Incident (Title IX Related),Investigation Pending,"Hornbake, Hornbake Library at 4130 Campus Dr"
337,2018-00068661,10/01/18 06:00,11/30/18 10:42,Harassment/Stalking (Title IX Related),Active/Pending,7500 block of Yale Ave
338,2018-00069907,12/04/18 15:50,12/05/18 16:10,Other Incident (Title IX Related),Active/Pending,8600 block of Boteler Ln
